scenario,local_rms,update_rms,update_mean,one_state_rms,full_decision,confirmed_structure
exact_identity,0.0,0.0,0.0,0.0,EXACT_UPDATE_IDENTITY_ON_FIXED_SUITE,
large_local_small_update,0.019752962784612808,0.004938240696153203,0.0012343403820254367,0.005146838524329224,FIXED_SUITE_UPDATE_EQUIVALENT,
small_local_material_update,0.0,0.020000000000000004,0.005445317114290053,0.02,MATERIAL_EFFECT,repair_aligned
zero_mean_material_energy,0.0,0.02,0.0,0.02,FIXED_SUITE_UPDATE_ENERGY_EXCEEDS_MARGIN,
fixed_additive_direction,0.0,0.02,0.02,0.02,MATERIAL_EFFECT,additive+residual_direction
state_aligned_scaling,0.0,0.020000000000000004,0.005445317114290053,0.02,MATERIAL_EFFECT,repair_aligned
statewise_orthogonal_mean,0.0,0.020000000000000004,0.01986190550818051,0.020000000000000004,MATERIAL_EFFECT,additive+residual_direction
single_state_false_reassurance,0.0,0.019070647392649763,0.004824158240020682,0.0,FIXED_SUITE_UPDATE_ENERGY_EXCEEDS_MARGIN,
calibration_confirmation_direction_change,0.0,0.02,0.02,0.02,FIXED_SUITE_UPDATE_ENERGY_EXCEEDS_MARGIN,
