case,local,gradient,update,formation_type,status,evidence
liger_fused_ce_t128,UNRESOLVED_INSUFFICIENT_STATES,UNRESOLVED_INSUFFICIENT_STATES,UNRESOLVED_INSUFFICIENT_STATES,UNRESOLVED,CONFIRMATION_MARGIN_CROSSED,formation/liger_fused_ce_t128.json
phi4_lm_head_dx_seq64,CENTERED,BIASED,BIASED,TRANSPORT_OR_CONTRACT_CANDIDATE,CONFIRMED_TRANSITION_MECHANISM_UNRESOLVED,formation/phi4_lm_head_dx_seq64.json
qwen_saved_p_seq128,CENTERED,CENTERED,CENTERED,VARIANCE_ONLY_CASE_LEVEL,COMPLETE,formation/qwen_saved_p_seq128.json
qwen_bmm_seq64,INELIGIBLE,INELIGIBLE,INELIGIBLE,UNRESOLVED,MISSING_EXACT_REPAIR_SHAM_PROVENANCE,../bias_formation_v2_1/feasibility_report.json
